Port,Protocol,Count
55061,unknown,1
18739,igmp,13
1720,icmp,13
12100,sps,1
54174,eigrp,7
29834,eigrp,11
34449,tcp,9
19307,nsh,12
27761,igmp,12
21167,unknown,1
7351,sctp,8
42053,sps,1
11000,sctp,6
51885,tcp,7
64806,ah,6
34208,tcp,1
64495,il,10
24445,vrrp,10
13414,unknown,1
2046,cphb,1
22857,igmp,9
2139,mobility header,1
19891,unknown,1
31910,vrrp,9
49989,gre,6
33002,ipv6,1
26787,wsn,1
9017,udp,8
48082,pvp,1
13541,unknown,1
59503,trunk-1,1
54733,sctp,1
56870,pim,15
61998,udp,2
18411,unknown,1
38917,tcp,1
39654,vrrp,9
36419,rvd,1
16475,larp,1
27151,udp,4
44349,unknown,1
29342,vrrp,7
63779,crudp,1
35292,dccp,1
42003,idpr-cmtp,1
6808,eigrp,8
619,unknown,1
21431,ipx-in-ip,7
20834,larp,6
5678,gre,10
36598,gre,13
40501,unknown,1
9077,sctp,12
63901,eigrp,15
5115,ddp,1
17316,leaf-2,1
6355,eigrp,9
37645,ah,1
50895,ah,7
3276,xnet,8
50757,ipx-in-ip,13
27319,iso-tp4,1
54830,unknown,1
58454,sctp,10
38689,tcp,9
21035,ospfigp,2
12355,igmp,9
36497,unknown,1
29803,gre,17
31716,unknown,1
20756,ipv6-route,1
59459,kryptolan,1
58341,rdp,10
2634,unknown,1
50679,esp,10
19726,ospfigp,13
43614,unknown,1
23548,secure-vmtp,1
16241,unknown,1
18030,icmp,7
39814,il,13
57519,ospfigp,5
63412,bbn-rcc-mon,1
58346,udp,10
11004,nsh,12
58057,unknown,1
1273,unknown,1
54296,ipx-in-ip,15
1146,unknown,1
48163,tcp,8
596,iptm,1
31705,icmp,11
42002,unknown,1
57674,unknown,1
47085,igmp,9
44658,unknown,1
55558,icmp,8
39968,pim,6
22694,icmp,12
707,igmp,11
18119,mpls-in-ip,1
18638,udp,8
35762,unknown,1
41150,udp,6
24063,larp,5
50917,vrrp,7
11525,ethernet,1
60110,nsh,10
21209,xnet,11
51955,tcp,9
21793,pim,12
5289,tcp,5
49655,unknown,1
43279,pim,10
27333,pim,8
50576,sat-expak,1
47875,vines,1
23653,esp,7
50942,ah,10
520,3pc,1
55593,aris,1
27136,ifmp,1
13171,unknown,1
16175,il,8
23707,il,6
18404,pim,5
4178,unknown,1
29437,udp,7
14663,udp,6
47288,idrp,1
44020,unknown,1
58541,mtp,13
53628,unknown,1
10126,unknown,1
61052,unknown,1
54893,unknown,1
59668,esp,13
61936,unknown,1
5349,igmp,4
41951,unknown,1
19839,eigrp,1
64088,compaq-peer,1
14055,gre,10
35183,eigrp,16
33463,vrrp,11
65402,unknown,1
18050,eigrp,1
7850,sctp,11
58274,igmp,10
25740,gre,6
22461,pim,8
56150,gre,12
51626,tcp,12
63223,ipx-in-ip,6
49295,iso-ip,1
47898,iso-ip,1
41481,ipv6-route,1
52332,iptm,1
2128,pup,1
44376,icmp,10
1226,ah,7
58473,larp,12
47489,vrrp,5
21838,tcp,3
30202,irtp,1
63161,gre,8
22628,larp,14
2407,vrrp,2
5377,tcp,11
15544,ipv6-frag,1
59978,unknown,1
20385,rdp,8
50272,unknown,1
28906,dsr,1
54814,icmp,7
41894,larp,7
37832,sctp,7
23273,ipv6-route,1
65099,ax.25,1
7210,ospfigp,1
27302,crudp,1
12121,sctp,10
50523,sctp,7
44638,udp,8
9998,unknown,1
12610,igmp,8
63769,mpls-in-ip,1
11449,unknown,1
51124,gre,9
16388,sctp,8
19982,tcp,7
29117,unknown,1
61100,larp,1
49039,il,9
3116,isis over ipv4,1
48897,ptp,1
10107,mux,1
54622,unknown,1
24101,tcp,5
44529,igmp,10
63627,udp,10
44790,ospfigp,5
42712,sscopmce,1
55745,gre,12
47542,pim,12
40810,rdp,13
36091,vines,1
38721,ddp,8
29367,udp,6
58039,ospfigp,7
43761,unknown,1
49931,eigrp,14
21757,iso-tp4,1
21648,vrrp,8
18506,ipv6,1
16917,unknown,1
32219,ipx-in-ip,1
23638,tcp,9
23463,stp,1
28458,udp,9
17102,xnet,1
11909,igmp,4
14095,emcon,1
39813,sctp,12
7335,fire,1
21129,ah,1
54824,gre,11
34510,gre,10
24761,gre,9
57713,sctp,11
45776,unknown,1
21537,unknown,1
53341,gre,7
10691,ospfigp,11
55134,ospfigp,8
54749,icmp,7
33960,emcon,1
57512,ospfigp,9
29233,pim,9
22752,secure-vmtp,1
28006,sctp,9
12987,prm,1
65009,vrrp,6
11558,cbt,1
37795,esp,12
36812,il,1
44844,tcp,6
35216,igmp,6
6741,unknown,1
37425,unknown,1
53775,unknown,1
53478,ospfigp,14
13105,unknown,1
3971,xns-idp,1
56475,unknown,1
13974,unknown,1
28843,ospfigp,8
47360,udp,8
44541,fire,1
29009,pvp,1
3738,sctp,10
37078,sctp,9
53399,udplite,1
1783,larp,1
35919,ah,6
63833,tcp,9
30707,dcn-meas,1
12325,gre,7
29747,eigrp,4
55728,ah,11
52711,udp,11
46234,pim,7
61650,unknown,1
63428,igmp,7
39273,icmp,10
8075,pim,19
15334,cbt,1
48949,merit-inp,1
25844,pim,7
32710,unknown,1
15780,igmp,8
3559,smp,1
35055,ipx-in-ip,3
30791,cpnx,1
16270,sctp,8
17898,ospfigp,2
38236,ospfigp,7
43355,pim,12
3950,unknown,1
1296,hopopt,1
56262,rsvp-e2e-ignore,1
9793,udp,6
65199,unknown,1
13671,fire,1
16588,visa,1
56624,gre,9
2902,icmp,7
30603,pim,14
322,pim,9
20796,pim,7
52989,sctp,9
39753,ddp,7
64246,unknown,1
29667,unknown,1
37643,unknown,1
41413,tcp,12
10988,sctp,8
43591,iso-tp4,1
24579,unknown,1
64028,unknown,1
14615,vrrp,4
30700,igmp,1
59533,gre,15
13510,dsr,1
39261,unknown,1
20729,udp,9
35732,icmp,15
10045,sm (deprecated),1
52688,smp,1
62791,pim,10
52829,visa,1
44977,ipx-in-ip,14
48371,gre,6
29073,sctp,8
22118,shim6,1
11458,mpls-in-ip,1
42681,ospfigp,8
20481,gre,16
47665,pvp,1
15935,tcp,12
27109,unknown,1
45756,unknown,1
36996,vrrp,8
45823,udp,13
29211,unknown,1
2814,tcp,13
31997,sun-nd,1
1501,qnx,1
37929,unknown,1
584,unknown,1
24359,udp,7
7035,igmp,8
63883,unknown,1
42387,unknown,1
27889,sscopmce,1
51750,unknown,1
14339,ospfigp,7
2441,igmp,8
11829,unknown,1
22342,wb-mon,1
39628,unknown,1
47474,larp,7
42135,rdp,8
29127,unknown,1
36476,icmp,9
29961,ospfigp,13
46415,icmp,12
50366,xnet,10
29624,eigrp,15
49172,rdp,4
31447,rdp,5
45612,eigrp,8
11173,unknown,1
37347,mtp,1
37192,unknown,1
58804,br-sat-mon,1
25970,igmp,11
44675,sctp,6
34785,pim,4
13497,pim,15
8500,vrrp,15
21046,udp,7
20257,unknown,1
31796,esp,1
8498,cpnx,1
53981,esp,11
19250,unknown,1
32450,tcp,13
11378,unknown,1
31009,icmp,11
55712,ospfigp,5
51231,vrrp,12
22840,unknown,1
13337,tcp,8
25919,eigrp,6
59147,icmp,9
3639,icmp,16
12904,nsh,7
45429,icmp,4
11235,fire,1
65264,vrrp,11
42619,sctp,9
41901,larp,6
34056,udp,5
40085,iso-tp4,1
37051,icmp,11
51686,pim,13
2398,unknown,1
61877,gre,5
62833,bna,1
36663,icmp,9
22744,ah,1
52163,unknown,1
43204,icmp,10
23941,xnet,12
33138,cbt,1
33460,nsh,10
23134,vrrp,14
14014,ddp,7
13397,stp,1
24986,scc-sp,1
65113,unknown,1
10782,tcp,12
64501,udp,7
9991,vrrp,23
62601,smp,1
52201,pim,10
20290,unknown,1
29564,ddp,16
7534,sctp,14
61982,rsvp-e2e-ignore,1
33333,xnet,7
62508,mtp,9
52244,unknown,1
39235,eigrp,12
23568,argus (deprecated),1
42839,mtp,8
5771,nsh,9
17490,tcp,11
37719,icmp,8
51463,il,12
64806,pim,10
37975,nsh,7
7519,ddp,8
35782,pim,1
10945,ipv4,1
37301,cftp,1
13766,unknown,1
55157,pim,3
43292,idpr-cmtp,1
46676,unknown,1
51352,icmp,10
57945,eigrp,12
55332,vrrp,7
27503,sctp,11
57464,ddx,1
47014,igmp,12
56496,icmp,10
13630,xtp,1
27999,netblt,1
25184,larp,10
18994,sctp,14
23136,gre,9
45441,vrrp,1
54709,wb-expak,1
37089,pim,9
60390,unknown,1
17014,igmp,9
37638,igmp,9
36289,unknown,1
27145,tcp,3
42217,unknown,1
59907,iatp,1
57601,unknown,1
37078,unknown,1
46334,unknown,1
58000,tcp,6
30448,ospfigp,6
20063,mux,1
35325,dsr,1
39259,icmp,21
43299,ospfigp,12
38443,pim,8
26367,gre,8
45837,unknown,1
62623,igmp,6
49402,xnet,1
64912,pim,13
4548,unknown,1
15299,dsr,1
42277,vrrp,6
42061,ipx-in-ip,7
3390,rdp,3
60441,unknown,1
51733,nsh,12
8057,pim,9
63427,unknown,1
47184,il,13
52008,sctp,16
12988,larp,9
46180,larp,8
49538,unknown,1
46228,icmp,10
33823,vrrp,12
50282,unknown,1
47831,gre,7
19567,gre,11
40622,sat-expak,1
39917,unknown,1
2816,gre,8
52785,xnet,8
16453,eigrp,1
49185,ah,11
61827,udp,8
45470,unknown,1
61430,xnet,10
10875,udp,5
17633,irtp,1
23985,udp,5
56645,sscopmce,1
19745,sctp,11
10780,unknown,1
12301,ospfigp,5
49222,unknown,1
52236,tcf,1
49610,vrrp,10
37207,sctp,5
7478,ospfigp,3
1263,unknown,1
41419,pim,7
61039,icmp,13
22219,unknown,1
15389,igmp,10
44363,trunk-1,1
13591,tcp,12
53349,unknown,1
24061,udp,6
18088,vrrp,13
16536,larp,1
42740,pim,8
41047,il,1
25935,iso-tp4,1
38026,unknown,1
63187,sctp,7
17817,unknown,1
22923,fire,1
38741,unknown,1
14149,sctp,9
26169,eigrp,10
14533,wb-mon,1
1073,tcf,1
36225,icmp,10
56684,eigrp,8
49867,igmp,12
6620,idrp,1
57392,shim6,1
10136,ptp,1
37635,ospfigp,7
58449,a/n,1
13723,wesp,1
19486,egp,1
43110,gre,13
65047,eigrp,5
37131,gre,8
17428,igmp,10
2538,srp,1
49060,unknown,1
26936,gmtp,1
21873,ippc,1
17731,ospfigp,13
50835,sctp,8
40194,unknown,1
52186,unknown,1
56772,rsvp-e2e-ignore,1
63738,br-sat-mon,1
20983,ah,7
272,wesp,1
38614,unknown,1
42236,igmp,1
26788,pim,6
62593,unknown,1
9203,igmp,4
19945,icmp,7
18312,gre,7
1012,unknown,1
60740,unknown,1
27113,eigrp,9
61749,sdrp,1
54356,igmp,15
14801,unknown,1
63890,icmp,5
38534,larp,11
38486,ipv6-opts,1
36639,unknown,2
56185,merit-inp,1
34346,gre,1
5603,unknown,1
7124,vrrp,8
27323,gre,8
61155,gre,17
61900,eigrp,11
2819,unknown,1
13802,br-sat-mon,1
58620,ospfigp,3
15066,il,7
12482,udp,6
21621,sctp,6
4732,tcp,11
25583,unknown,1
21111,br-sat-mon,1
49077,unknown,1
44650,eigrp,5
50278,sctp,1
46257,udp,11
40618,igmp,11
8001,vrrp,16
11913,igmp,5
50107,tcf,1
45178,eigrp,6
10929,wesp,1
2305,igmp,10
58944,udp,8
7144,eigrp,12
5143,vrrp,10
25221,unknown,1
11597,rvd,1
11112,sscopmce,1
64543,igmp,1
29117,dgp,1
18553,gre,9
56400,mtp,10
20042,vrrp,12
43877,l2tp,1
3030,unknown,1
53403,unknown,1
5126,unknown,1
24250,mtp,4
51135,sctp,5
26392,unknown,1
10679,aris,1
47207,pim,11
23190,ospfigp,12
22590,skip,1
1038,vrrp,7
50984,gre,5
29416,unknown,1
64636,tcp,6
363,tcp,10
55650,rdp,8
41497,unknown,1
48705,icmp,8
7077,udp,7
43815,iatp,1
59385,pim,10
18699,unknown,1
59748,pim,8
8294,ggp,1
50031,sctp,9
19269,xnet,13
23629,emcon,1
61247,unknown,1
37246,udp,11
38128,eigrp,11
48254,igmp,7
7127,vrrp,12
41824,smp,1
51823,a/n,1
5959,ggp,1
17600,tcp,7
63411,pim,6
40404,icmp,11
4048,egp,1
45175,gre,9
64431,uti,1
29497,igmp,9
14775,tcp,10
47655,min-ipv4,1
16795,udplite,1
40688,unknown,1
20446,eigrp,8
47430,rsvp,1
18815,nsh,1
41543,vrrp,11
32027,rdp,2
48702,sctp,6
39656,wsn,1
22277,sat-mon,1
23586,tcp,11
11667,unknown,1
8931,prm,1
35568,eigrp,14
39546,mux,1
26853,icmp,15
11762,hopopt,1
40949,larp,7
8450,rdp,8
23995,icmp,7
33594,ipx-in-ip,8
54690,ospfigp,6
31495,pim,8
23015,unknown,1
11062,unknown,1
37629,ipx-in-ip,5
36219,min-ipv4,1
22530,udp,6
30439,ipv4,1
51593,nvp-ii,1
24855,icmp,15
24414,gre,9
3014,rsvp,1
13239,unknown,1
62654,udp,11
32915,gre,5
60975,unknown,1
39258,unknown,1
17331,ah,15
4338,udp,13
29208,unknown,1
10688,pim,6
23907,scps,1
30689,iso-ip,1
26195,min-ipv4,1
41355,rdp,13
1307,rdp,14
52871,mpls-in-ip,1
64365,ospfigp,11
16228,unknown,1
56833,igmp,11
17387,igmp,7
29893,bna,1
62829,xnet,10
50284,udp,6
13869,icmp,7
62438,nsh,8
37818,unknown,1
42558,sctp,10
2933,unknown,1
2750,igmp,11
61465,mtp,8
35232,ddp,1
34927,vrrp,7
44743,icmp,1
45050,ipx-in-ip,6
58349,eigrp,8
10909,unknown,1
7845,tcp,8
16808,ospfigp,15
47812,shim6,1
25498,vrrp,5
49934,netblt,1
33865,eigrp,10
44967,tcp,3
37771,igmp,12
46139,unknown,1
22108,mtp,5
13891,isis over ipv4,1
39653,xnet,5
11432,unknown,1
13859,icmp,8
55256,icmp,7
24866,ipx-in-ip,9
18591,unknown,1
43439,unknown,2
42521,isis over ipv4,1
44359,unknown,1
61949,ah,6
30953,unknown,1
20589,sun-nd,1
7330,pim,8
22436,icmp,9
65287,igmp,11
44196,esp,9
31059,mpls-in-ip,1
25418,cftp,1
41882,igmp,11
51086,larp,9
24002,vines,1
44552,pim,2
44030,unknown,1
41023,ah,7
13743,pim,8
37194,sps,1
38819,unknown,1
10480,encap,1
15873,eigrp,18
28118,pim,7
12647,vrrp,2
63065,aris,1
4655,wb-expak,1
40440,unknown,1
23533,eigrp,11
36482,larp,11
1088,visa,1
18155,eigrp,11
47698,iso-ip,1
42434,tcp,10
12123,leaf-1,1
52788,eigrp,10
13133,icmp,10
29555,idpr-cmtp,1
54574,tp++,1
23727,unknown,1
8022,mtp,7
51380,unknown,1
54503,hopopt,9
56385,vrrp,8
19959,unknown,1
57601,ipx-in-ip,10
22680,gre,6
28487,eigrp,5
16676,ospfigp,7
61322,sctp,6
54366,unknown,1
40411,trunk-2,1
1596,pim,6
44633,sps,1
8302,xnet,16
6520,tcp,10
8079,ospfigp,8
25264,unknown,1
8457,unknown,1
8977,il,11
21095,leaf-2,1
35541,pim,7
42425,unknown,1
47123,secure-vmtp,1
21070,sscopmce,1
41756,gre,7
10362,ddp,1
21428,mtp,6
17791,xnet,11
28169,unknown,1
9266,unknown,1
56422,sctp,9
19107,pim,11
1401,sm (deprecated),1
6425,nvp-ii,1
51347,gre,19
11029,ddp,9
7537,unknown,1
23476,sctp,7
14640,crudp,1
43144,pim,9
51493,nsh,6
113,icmp,11
30269,rdp,13
60245,pim,8
40539,udp,14
9216,xnet,6
62189,iso-tp4,1
21798,pim,1
43983,pim,10
31627,icmp,9
6391,unknown,1
52162,emcon,1
31374,ospfigp,20
28402,unknown,1
52708,unknown,1
64225,stp,1
49853,unknown,1
43505,ospfigp,11
51354,unknown,1
41363,ggp,1
57648,eigrp,7
6945,bna,1
10230,unknown,1
10567,icmp,11
42322,sps,1
64396,tcp,9
17163,fc,1
58542,cphb,1
18727,pgm,1
11766,ospfigp,14
21370,sctp,7
34089,ddp,11
35178,udplite,1
28037,il,10
2756,tcp,6
13202,eigrp,12
3895,ipip,1
28000,sctp,6
31912,xnet,14
18182,pvp,1
7782,tcp,8
2436,unknown,1
8490,manet,1
7428,tcp,10
65467,igmp,9
43476,igmp,9
31030,isis over ipv4,1
34950,eigrp,3
41518,tcp,11
7357,eigrp,12
42061,compaq-peer,1
5576,icmp,15
30563,unknown,1
15066,xnet,5
34251,xnet,3
12501,xnet,8
13772,vrrp,5
5356,eigrp,11
83,icmp,12
9064,vrrp,5
12085,gre,10
7588,tcp,9
39083,unknown,1
62314,tcp,9
7669,tcp,9
30346,igp,1
51808,unknown,1
37049,gre,7
63632,icmp,13
51522,unknown,1
9358,eigrp,6
36510,cphb,1
6807,eigrp,12
37905,gre,17
16306,esp,7
19929,unknown,1
9838,vrrp,3
30843,eigrp,8
6933,eigrp,14
37549,eigrp,6
24432,unknown,1
54306,br-sat-mon,1
17866,sctp,5
37495,crudp,1
12078,pim,8
38687,unknown,2
39949,ospfigp,15
44128,udp,8
24313,kryptolan,1
46978,udp,9
28237,unknown,1
57655,nsh,9
57003,wb-expak,1
14556,eigrp,11
42133,larp,9
62555,tcp,8
36682,larp,8
19338,l2tp,1
1314,irtp,1
29563,gre,9
41707,unknown,1
27854,unknown,1
48538,tcp,5
36171,sctp,7
16849,icmp,7
568,tcp,1
6459,unknown,1
7446,vrrp,11
8740,trunk-2,1
1987,xnet,13
32486,shim6,1
36027,pim,8
35716,unknown,1
21046,tcp,8
60485,eigrp,6
18364,qnx,1
27975,ipcomp,1
27191,vrrp,8
47732,ddp,9
957,manet,1
30646,ddx,1
40282,igmp,1
23950,pim,9
6507,xnet,14
6164,eigrp,10
65131,xnet,7
52705,unknown,1
34819,unknown,1
1032,unknown,1
56534,sprite-rpc,1
27714,vrrp,7
7348,skip,1
21066,unknown,1
31500,stp,1
63207,idrp,1
11480,ospfigp,8
45760,mtp,10
19360,smp,1
40747,sctp,4
6924,udp,7
51312,igmp,5
64567,ospfigp,5
33836,vrrp,12
26957,unknown,1
28935,gre,15
28623,unknown,1
8319,tcp,6
32699,unknown,1
34848,udp,13
42168,vrrp,11
24023,crudp,1
3168,vrrp,13
50163,sctp,9
42254,gre,14
36473,hopopt,1
21929,igmp,8
41144,pim,12
10290,sps,1
1573,nsh,10
57208,unknown,1
5251,igmp,6
16803,unknown,1
23452,icmp,8
26840,icmp,12
45657,ospfigp,8
5558,argus (deprecated),1
27751,igmp,9
50320,unknown,1
34869,unknown,1
34611,unknown,1
63856,igmp,15
29532,sps,1
39288,unknown,1
48416,icmp,12
2072,unknown,1
29959,tcp,5
9012,udp,15
27707,kryptolan,1
34957,sctp,13
34505,icmp,10
33037,ospfigp,10
42291,ospfigp,1
7047,udp,14
34659,ospfigp,13
54742,larp,10
56794,unknown,1
19018,icmp,12
26218,xnet,9
29258,dgp,1
34578,udp,6
58594,unknown,1
2078,gre,7
21462,ipx-in-ip,9
37582,unknown,1
47239,ospfigp,6
6573,tcp,7
37874,unknown,2
28234,hopopt,9
34026,unknown,2
22766,unknown,1
25304,pim,8
30609,encap,1
43803,eigrp,7
1984,gre,8
57138,pim,8
43072,icmp,4
51016,secure-vmtp,1
18200,visa,1
36461,eigrp,8
3993,unknown,1
39111,tcp,5
32240,sctp,8
13450,unknown,1
15223,crtp,1
24605,stp,1
39011,rdp,10
50411,sctp,8
22089,ospfigp,8
48947,unknown,1
54308,sctp,10
41536,tcp,6
20454,ospfigp,4
13742,tcp,7
15557,narp,1
18181,irtp,1
48380,vrrp,2
49521,ethernet,1
54250,hopopt,13
46178,eigrp,9
29322,gre,17
59081,pim,6
55243,sctp,13
2700,ipx-in-ip,6
12154,mtp,8
3385,icmp,5
56809,unknown,1
62735,unknown,1
14421,unknown,1
37571,igmp,10
32681,hmp,1
27421,unknown,1
16137,unknown,1
62399,vrrp,8
9609,tcp,10
34297,unknown,1
47969,unknown,1
2364,pim,10
8197,udp,5
31139,sun-nd,1
17701,pim,5
24196,unknown,1
36023,gre,12
33313,xnet,10
34515,gre,12
41814,aris,1
3704,ospfigp,7
7119,icmp,11
15670,unknown,1
15799,icmp,11
60948,tcp,7
39329,gre,10
33633,unknown,1
25034,pup,1
39487,igmp,1
2095,bbn-rcc-mon,1
19078,tcp,10
45227,cbt,1
24645,sctp,9
11503,unknown,1
19260,icmp,11
55471,unknown,1
42745,tcp,7
46919,unknown,1
56548,etherip,1
13242,icmp,8
55915,ipx-in-ip,10
34339,sctp,4
53914,igmp,12
3443,icmp,8
43585,compaq-peer,1
6556,unknown,1
6457,vrrp,8
2474,ipx-in-ip,1
56576,udp,13
8761,sctp,11
32717,unknown,2
55139,eigrp,13
34392,tcp,11
1465,unknown,1
20418,igmp,5
5432,bna,1
52770,udp,12
34305,ddp,6
55435,a/n,1
12372,unknown,1
65008,idpr,1
14446,udp,12
38892,igmp,8
10665,i-nlsp,1
32124,ospfigp,10
6825,udp,14
51777,ipcv,1
56927,pim,1
15732,ipx-in-ip,6
41207,trunk-1,1
9776,sctp,8
26886,unknown,1
30775,unknown,1
43755,vrrp,8
59292,mtp,1
17410,unknown,1
64614,gre,21
10954,micp (deprecated),1
28437,gre,9
34680,unknown,1
5553,ah,8
10884,unknown,1
56149,secure-vmtp,1
5699,unknown,1
39124,sprite-rpc,1
60570,hip,1
61082,eigrp,7
51794,gre,3
5923,pim,14
9312,pim,6
39171,min-ipv4,1
29267,udp,1
48007,unknown,1
17596,mtp,9
17315,scc-sp,1
23606,unknown,2
7745,udp,13
41248,ippc,1
43720,cpnx,1
1468,unknown,1
33247,rdp,5
13148,unknown,1
23461,unknown,1
38586,eigrp,6
3881,icmp,11
60308,pim,2
50731,iptm,1
22617,tcp,12
64351,ipv6-nonxt,1
54346,vrrp,9
57443,tcp,9
41563,gre,13
20548,rsvp-e2e-ignore,1
51940,sctp,9
26725,gre,8
40590,unknown,1
16205,icmp,16
4169,pgm,1
7934,icmp,6
36619,pim,10
39446,qnx,1
42312,igp,1
36487,gre,9
29778,unknown,1
35546,ospfigp,13
41329,vrrp,10
21415,udp,10
16316,pim,3
52633,ipx-in-ip,9
15229,ospfigp,4
24311,br-sat-mon,1
3930,unknown,1
57052,eigrp,9
44329,vrrp,11
47717,vrrp,8
23503,wb-expak,1
56263,eigrp,9
41363,gre,3
20379,eigrp,9
16349,unknown,1
13296,icmp,6
8462,rvd,1
25608,udp,10
11839,unknown,1
46005,unknown,1
38618,tcp,5
30259,aggfrag,1
16271,ah,9
39757,ipx-in-ip,7
24954,vrrp,9
22730,ipv6-frag,1
39605,unknown,1
15125,udp,9
63097,unknown,1
54665,pim,8
15043,il,12
33929,unknown,1
21623,larp,6
61285,ospfigp,9
16361,ddp,1
45053,eigrp,8
32897,icmp,7
